,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
138370,192.168.20.132-200.175.2.130-43062-8081-6,192.168.20.132,43062,200.175.2.130,8081,6,31/12/2019 02:03:01 PM,20356,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,16260.562,393.0045196,2908.0,3570.5796450000007,9330.0,108.0,9425.0,3141.666667,5249.269504999998,9203.0,108.0,18690.0,6230.0,3246.810127,9330.0,2854.0,0,0,0,0,128,144,196.5022598,196.5022598,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138371,192.168.20.132-200.175.2.130-43062-8081-6,200.175.2.130,8081,192.168.20.132,43062,6,31/12/2019 02:03:01 PM,51045,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39.18111470000001,51045.0,0.0,51045.0,51045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,19.59055735,19.59055735,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138372,192.168.20.131-200.175.2.130-53960-8081-6,192.168.20.131,53960,200.175.2.130,8081,6,31/12/2019 02:03:02 PM,13504,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,24511.25592,592.4170616,1929.142857,1681.39153,4991.0,193.0,7989.0,2663.0,3623.713565,6823.0,193.0,11756.0,3918.666667,980.1562801,4991.0,3069.0,0,0,0,0,128,144,296.2085308,296.2085308,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138373,192.168.20.131-200.175.2.130-53960-8081-6,200.175.2.130,8081,192.168.20.131,53960,6,31/12/2019 02:03:02 PM,51780,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,38.62495172,51780.0,0.0,51780.0,51780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,19.31247586,19.31247586,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138374,192.168.20.132-200.175.2.130-43066-8081-6,192.168.20.132,43066,200.175.2.130,8081,6,31/12/2019 02:03:04 PM,14572,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,22714.7955,548.9980785,2081.714286,1472.227192,4076.0,120.0,8192.0,2730.666667,4041.557291,7386.0,120.0,13250.0,4416.666667,1424.877656,5981.0,3193.0,0,0,0,0,128,144,274.4990393,274.4990393,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138375,192.168.20.132-200.175.2.130-43066-8081-6,200.175.2.130,8081,192.168.20.132,43066,6,31/12/2019 02:03:04 PM,50606,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,39.52100541,50606.0,0.0,50606.0,50606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,19.76050271,19.76050271,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138376,192.168.20.131-200.175.2.130-53964-8081-6,192.168.20.131,53964,200.175.2.130,8081,6,31/12/2019 02:03:05 PM,12792,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,25875.54722,625.3908693,1827.428571,1981.18852,6162.0,188.0,9687.0,3229.0,4818.819461,8785.0,188.0,11009.0,3669.666667,2282.239324,6162.0,1682.0,0,0,0,0,128,144,312.69543460000006,312.69543460000006,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138377,192.168.20.131-200.175.2.130-53964-8081-6,200.175.2.130,8081,192.168.20.131,53964,6,31/12/2019 02:03:05 PM,48955,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40.85384537,48955.0,0.0,48955.0,48955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,20.42692268,20.42692268,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138378,192.168.20.132-200.175.2.130-43070-8081-6,192.168.20.132,43070,200.175.2.130,8081,6,31/12/2019 02:03:07 PM,11474,4,4,203.0,128.0,203,0,50.75,101.5,128,0,32.0,64.0,28847.82988,697.2285166,1639.142857,1765.054714,5388.0,162.0,9136.0,3045.333333,4878.492527,8678.0,162.0,9344.0,3114.666667,2117.279937,5388.0,1199.0,0,0,0,0,128,144,348.6142583,348.6142583,0,203,36.77777778,75.34881847,5677.444444,0,1,0,0,0,0,0,0,1,41.375,50.75,32.0,0,0,0,0,0,0,4,203,4,128,-1,64,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
138379,192.168.20.132-200.175.2.130-43070-8081-6,200.175.2.130,8081,192.168.20.132,43070,6,31/12/2019 02:03:07 PM,49808,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,40.1541921,49808.0,0.0,49808.0,49808.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,32,20.07709605,20.07709605,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malware Attack
